RECOVERED 2-LIFT SIGNING
========================
quotient vertices: 30
quotient edges: 60
degree set: [4]

SIGN HISTOGRAM
{'+1': 40, '-1': 20}

EDGE SIGNS
 0- 2  sign=+1  (0, 1) <-> (0, 5)  pattern=[(0, 0), (1, 1)]
 0- 3  sign=+1  (0, 1) <-> (0, 6)  pattern=[(0, 0), (1, 1)]
 0- 5  sign=+1  (0, 1) <-> (1, 5)  pattern=[(0, 0), (1, 1)]
 0- 6  sign=+1  (0, 1) <-> (1, 6)  pattern=[(0, 0), (1, 1)]
 1- 2  sign=+1  (0, 4) <-> (0, 5)  pattern=[(0, 0), (1, 1)]
 1- 4  sign=-1  (0, 4) <-> (0, 11)  pattern=[(0, 1), (1, 0)]
 1-18  sign=+1  (0, 4) <-> (4, 5)  pattern=[(0, 0), (1, 1)]
 1-21  sign=+1  (0, 4) <-> (4, 11)  pattern=[(0, 0), (1, 1)]
 2- 5  sign=+1  (0, 5) <-> (1, 5)  pattern=[(0, 0), (1, 1)]
 2-18  sign=+1  (0, 5) <-> (4, 5)  pattern=[(0, 0), (1, 1)]
 3- 4  sign=+1  (0, 6) <-> (0, 11)  pattern=[(0, 0), (1, 1)]
 3- 6  sign=+1  (0, 6) <-> (1, 6)  pattern=[(0, 0), (1, 1)]
 3-25  sign=-1  (0, 6) <-> (6, 11)  pattern=[(0, 1), (1, 0)]
 4-21  sign=-1  (0, 11) <-> (4, 11)  pattern=[(0, 1), (1, 0)]
 4-25  sign=-1  (0, 11) <-> (6, 11)  pattern=[(0, 1), (1, 0)]
 5- 8  sign=+1  (1, 5) <-> (1, 10)  pattern=[(0, 0), (1, 1)]
 5-23  sign=-1  (1, 5) <-> (5, 10)  pattern=[(0, 1), (1, 0)]
 6- 7  sign=+1  (1, 6) <-> (1, 7)  pattern=[(0, 0), (1, 1)]
 6-24  sign=+1  (1, 6) <-> (6, 7)  pattern=[(0, 0), (1, 1)]
 7- 8  sign=-1  (1, 7) <-> (1, 10)  pattern=[(0, 1), (1, 0)]
 7-24  sign=+1  (1, 7) <-> (6, 7)  pattern=[(0, 0), (1, 1)]
 7-26  sign=+1  (1, 7) <-> (7, 10)  pattern=[(0, 0), (1, 1)]
 8-23  sign=-1  (1, 10) <-> (5, 10)  pattern=[(0, 1), (1, 0)]
 8-26  sign=-1  (1, 10) <-> (7, 10)  pattern=[(0, 1), (1, 0)]
 9-11  sign=+1  (2, 3) <-> (2, 7)  pattern=[(0, 0), (1, 1)]
 9-12  sign=+1  (2, 3) <-> (2, 9)  pattern=[(0, 0), (1, 1)]
 9-14  sign=+1  (2, 3) <-> (3, 7)  pattern=[(0, 0), (1, 1)]
 9-16  sign=+1  (2, 3) <-> (3, 9)  pattern=[(0, 0), (1, 1)]
10-11  sign=+1  (2, 6) <-> (2, 7)  pattern=[(0, 0), (1, 1)]
