================================================================================
THALEAN MODE PROJECTION
================================================================================
signal kind: delta
vertex: 48
top modes shown: 12
reconstruction error: 0.000000000000

TOP MODE OVERLAPS
--------------------------------------------------------------------------------
rank  mode  eigenvalue      coefficient      power
   1    20    3.000000   -0.2760655376  0.0762121811
   2    39    6.000000    0.2626466001  0.0689832365
   3    41    6.000000   -0.2530858739  0.0640524595
   4    42    6.000000    0.2468788112  0.0609491474
   5    35    5.236068    0.2425102038  0.0588111990
   6     8    1.000000    0.2327434221  0.0541695005
   7     2    0.763932   -0.2110164055  0.0445279234
   8    31    5.000000   -0.1862607149  0.0346930539
   9    18    3.000000    0.1825741858  0.0333333333
  10    14    2.000000   -0.1787647354  0.0319568306
  11     3    0.763932    0.1677074980  0.0281258049
  12    53    6.000000   -0.1667160578  0.0277942439
