================================================================================
THALEAN MODE PROJECTION
================================================================================
signal kind: uniform
vertex: 0
top modes shown: 12
reconstruction error: 0.000000000000

TOP MODE OVERLAPS
--------------------------------------------------------------------------------
rank  mode  eigenvalue      coefficient      power
   1     0    0.000000   -1.0000000000  1.0000000000
   2     4    0.763932   -0.0000000000  0.0000000000
   3    12    2.000000   -0.0000000000  0.0000000000
   4    18    3.000000    0.0000000000  0.0000000000
   5     7    1.000000   -0.0000000000  0.0000000000
   6     3    0.763932   -0.0000000000  0.0000000000
   7    26    4.000000   -0.0000000000  0.0000000000
   8    29    5.000000    0.0000000000  0.0000000000
   9     1    0.763932   -0.0000000000  0.0000000000
  10     9    1.000000   -0.0000000000  0.0000000000
  11    11    2.000000   -0.0000000000  0.0000000000
  12    17    3.000000    0.0000000000  0.0000000000
