================================================================================
THALEAN MODE PROJECTION
================================================================================
signal kind: delta
vertex: 0
top modes shown: 12
reconstruction error: 0.000000000000

TOP MODE OVERLAPS
--------------------------------------------------------------------------------
rank  mode  eigenvalue      coefficient      power
   1    51    6.000000    0.5916079783  0.3500000000
   2    18    3.000000   -0.3651483717  0.1333333333
   3    38    5.236068   -0.3162277660  0.1000000000
   4     4    0.763932   -0.3162277660  0.1000000000
   5    12    2.000000    0.2886751346  0.0833333333
   6    26    4.000000   -0.2886751346  0.0833333333
   7     7    1.000000   -0.2581988897  0.0666666667
   8    29    5.000000    0.2581988897  0.0666666667
   9     0    0.000000   -0.1290994449  0.0166666667
  10    48    6.000000   -0.0000000000  0.0000000000
  11    17    3.000000   -0.0000000000  0.0000000000
  12    25    4.000000    0.0000000000  0.0000000000

wrote: /data/data/com.termux/files/home/dev/cori/hyperxi_lab/artifacts/reports/thalean_projection_delta_v00.txt
