======================================================================
THALION SECTOR PROJECTOR PROBE
======================================================================

initial decomposition
sym energy : 0.5
anti energy: 0.5

energy evolution
t   full      sym       anti
 0  1.000000  0.500000  0.500000
 1  2.000000  1.000000  1.000000
 2  0.750000  0.437500  0.312500
 3  1.062500  0.453125  0.609375
 4  1.984375  1.070312  0.914062
 5  0.957031  0.467773  0.489258
 6  1.026367  0.461914  0.564453
 7  1.738525  0.986389  0.752136
 8  1.087341  0.464203  0.623138
 9  0.999710  0.519787  0.479923
10  1.886059  0.991005  0.895054
11  1.051827  0.487382  0.564445
12  0.794636  0.429723  0.364912
13  2.054518  1.025086  1.029432
14  0.962805  0.502444  0.460361
15  0.914327  0.434545  0.479782
16  2.060214  1.064511  0.995702
17  0.794818  0.414254  0.380563
18  1.066894  0.482933  0.583961
