t r0_s0 r0_s1 r1_s0 r1_s1 r2_s0 r2_s1 r3_s0 r3_s1 r4_s0 r4_s1 r5_s0 r5_s1
0 0.50000000 0.50000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
1 0.50000000 0.50000000 0.50000000 0.50000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
2 0.00000000 0.00000000 0.12500000 0.12500000 0.25000000 0.25000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
3 0.12500000 0.12500000 0.28125000 0.28125000 0.03125000 0.03125000 0.03125000 0.03125000 0.00000000 0.00000000 0.00000000 0.00000000
4 0.28125000 0.28125000 0.12500000 0.12500000 0.66406250 0.66406250 0.00000000 0.00000000 0.01562500 0.01562500 0.00000000 0.00000000
5 0.00000000 0.00000000 0.15820312 0.15820312 0.10351562 0.10351562 0.15820312 0.15820312 0.00781250 0.00781250 0.00781250 0.00781250
6 0.01757812 0.01757812 0.19531250 0.19531250 0.15869141 0.15869141 0.00000000 0.00000000 0.08300781 0.08300781 0.00781250 0.00781250
7 0.19531250 0.19531250 0.31750488 0.31750488 0.17150879 0.17150879 0.14953613 0.14953613 0.04150391 0.04150391 0.05908203 0.05908203
8 0.18566895 0.18566895 0.00195313 0.00195313 0.11367798 0.11367798 0.01220703 0.01220703 0.09991455 0.09991455 0.08251953 0.08251953
9 0.23632813 0.23632813 0.00000763 0.00000763 0.08499908 0.08499908 0.07178497 0.07178497 0.05984497 0.05984497 0.07327271 0.07327271
10 0.18805695 0.18805695 0.41775513 0.41775513 0.11789894 0.11789894 0.00988770 0.00988770 0.09828568 0.09828568 0.09915161 0.09915161
11 0.02566528 0.02566528 0.05544710 0.05544710 0.09714365 0.09714365 0.02286959 0.02286959 0.23543739 0.23543739 0.07252693 0.07252693
12 0.03927660 0.03927660 0.19531250 0.19531250 0.00570261 0.00570261 0.04944038 0.04944038 0.07927060 0.07927060 0.01794624 0.01794624
13 0.36257935 0.36257935 0.06949094 0.06949094 0.30867830 0.30867830 0.00288251 0.00288251 0.16512692 0.16512692 0.15194905 0.15194905
14 0.00428084 0.00428084 0.12040436 0.12040436 0.10947470 0.10947470 0.22834015 0.22834015 0.00829895 0.00829895 0.01386178 0.01386178
15 0.06510270 0.06510270 0.08973755 0.08973755 0.05432099 0.05432099 0.01055964 0.01055964 0.05727629 0.05727629 0.09289355 0.09289355
16 0.13321796 0.13321796 0.19394162 0.19394162 0.37132975 0.37132975 0.21461166 0.21461166 0.16439173 0.16439173 0.03862924 0.03862924
17 0.03431228 0.03431228 0.01874411 0.01874411 0.25301137 0.25301137 0.02366282 0.02366282 0.03273807 0.03273807 0.00394598 0.00394598
18 0.05202104 0.05202104 0.00094558 0.00094558 0.26033924 0.26033924 0.18097544 0.18097544 0.01471948 0.01471948 0.00168990 0.00168990
