t r0_s0 r0_s1 r1_s0 r1_s1 r2_s0 r2_s1 r3_s0 r3_s1 r4_s0 r4_s1 r5_s0 r5_s1
0 0.50000000 0.50000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
1 0.50000000 0.50000000 0.50000000 0.50000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
2 0.00000000 0.00000000 0.12500000 0.12500000 0.25000000 0.25000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
3 0.12500000 0.12500000 0.28125000 0.28125000 0.03125000 0.03125000 0.15625000 0.15625000 0.00000000 0.00000000 0.00000000 0.00000000
4 0.28125000 0.28125000 0.28125000 0.28125000 0.19531250 0.19531250 0.06250000 0.06250000 0.07812500 0.07812500 0.00000000 0.00000000
5 0.03125000 0.03125000 0.00195312 0.00195312 0.08789062 0.08789062 0.19726562 0.19726562 0.19531250 0.19531250 0.00781250 0.00781250
6 0.23632812 0.23632812 0.09570313 0.09570313 0.03564453 0.03564453 0.00390625 0.00390625 0.12207031 0.12207031 0.07031250 0.07031250
7 0.23632812 0.23632812 0.18566895 0.18566895 0.08557129 0.08557129 0.18225098 0.18225098 0.07470703 0.07470703 0.03955078 0.03955078
8 0.00305176 0.00305176 0.00598145 0.00598145 0.32888794 0.32888794 0.07055664 0.07055664 0.14337158 0.14337158 0.03955078 0.03955078
9 0.16711426 0.16711426 0.03223419 0.03223419 0.03769684 0.03769684 0.03397369 0.03397369 0.08132935 0.08132935 0.12112427 0.12112427
10 0.01544952 0.01544952 0.28418732 0.28418732 0.22224617 0.22224617 0.36549377 0.36549377 0.06761551 0.06761551 0.00003052 0.00003052
11 0.01544952 0.01544952 0.00360918 0.00360918 0.24781656 0.24781656 0.20821619 0.20821619 0.01317024 0.01317024 0.05447578 0.05447578
12 0.03399324 0.03399324 0.00360918 0.00360918 0.12087166 0.12087166 0.16568089 0.16568089 0.06909490 0.06909490 0.01443672 0.01443672
13 0.03399324 0.03399324 0.11530784 0.11530784 0.40221348 0.40221348 0.41857925 0.41857925 0.02293503 0.02293503 0.00078213 0.00078213
14 0.02408627 0.02408627 0.11530784 0.11530784 0.10477311 0.10477311 0.01638323 0.01638323 0.21681161 0.21681161 0.00078213 0.00078213
15 0.02408627 0.02408627 0.09046301 0.09046301 0.19638097 0.19638097 0.07078330 0.07078330 0.15157909 0.15157909 0.01114405 0.01114405
16 0.20790701 0.20790701 0.09046301 0.09046301 0.25364481 0.25364481 0.21770072 0.21770072 0.16323201 0.16323201 0.01114405 0.01114405
17 0.20790701 0.20790701 0.02781381 0.02781381 0.01990985 0.01990985 0.03460537 0.03460537 0.02691170 0.02691170 0.11125526 0.11125526
18 0.08363286 0.08363286 0.02781381 0.02781381 0.15927901 0.15927901 0.19321816 0.19321816 0.09185914 0.09185914 0.00040016 0.00040016
