t r0 r1 r2 r3 r4 r5 r6
0 1.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
1 1.00000000 1.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
2 0.00000000 0.25000000 0.50000000 0.00000000 0.00000000 0.00000000 0.00000000
3 0.25000000 0.56250000 0.00000000 0.25000000 0.00000000 0.00000000 0.00000000
4 0.56250000 0.39062500 0.78125000 0.06250000 0.18750000 0.00000000 0.00000000
5 0.01562500 0.09765625 0.03125000 0.39062500 0.37500000 0.04687500 0.00000000
6 0.19140625 0.28222656 0.09570312 0.00390625 0.21484375 0.22265625 0.01562500
7 0.43066406 0.49438477 0.12500000 0.39160156 0.16210938 0.03710938 0.09765625
8 0.07055664 0.00054932 0.20520020 0.09985352 0.45532227 0.25195312 0.00390625
9 0.40045166 0.01661682 0.11730957 0.01251221 0.22851562 0.03289795 0.19140625
10 0.15565491 0.69552994 0.15167999 0.41108704 0.31834412 0.10243225 0.05133057
11 0.04047012 0.01538181 0.23098755 0.14232254 0.49282074 0.00348663 0.12635803
12 0.07317448 0.12601113 0.08775759 0.18840504 0.27688694 0.01011276 0.03228760
13 0.30930543 0.18191391 0.49512911 0.45792413 0.36437035 0.18041110 0.06546402
14 0.02433783 0.23568465 0.01575139 0.23135954 0.42377561 0.02128130 0.01061463
15 0.00499548 0.18019984 0.06492662 0.07049502 0.39324793 0.18061838 0.01984411
16 0.33698649 0.27465814 0.20578712 0.71098364 0.30052534 0.18563804 0.04563481
17 0.20557125 0.04611195 0.20189010 0.10957718 0.04033619 0.11277774 0.07855320
18 0.13378655 0.01950808 0.16594306 0.53310939 0.20802145 0.00630261 0.00022270
