t r0_s0 r0_s1 r1_s0 r1_s1 r2_s0 r2_s1 r3_s0 r3_s1 r4_s0 r4_s1 r5_s0 r5_s1
0 1.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
1 1.00000000 0.00000000 1.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
2 0.00000000 0.00000000 0.25000000 0.00000000 0.37500000 0.12500000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
3 0.25000000 0.00000000 0.56250000 0.00000000 0.00000000 0.06250000 0.12500000 0.06250000 0.00000000 0.00000000 0.00000000 0.00000000
4 0.56250000 0.00000000 0.39062500 0.01562500 0.61718750 0.24218750 0.03125000 0.03125000 0.05468750 0.03906250 0.00000000 0.00000000
5 0.01562500 0.01562500 0.09765625 0.06250000 0.05468750 0.13671875 0.19531250 0.16015625 0.12500000 0.07812500 0.01562500 0.00000000
6 0.19140625 0.06250000 0.28222656 0.00878906 0.12060547 0.07373047 0.00195312 0.00195312 0.05810547 0.14697266 0.06250000 0.01562500
7 0.43066406 0.00097656 0.49438477 0.00878906 0.10595703 0.15112305 0.19580078 0.13598633 0.04492188 0.07128906 0.00097656 0.09765625
8 0.07055664 0.11816406 0.00054932 0.00738525 0.26376343 0.17880249 0.04992676 0.03283691 0.11752319 0.12576294 0.11816406 0.00390625
9 0.40045166 0.00299072 0.01661682 0.01562500 0.08847046 0.03422546 0.00625610 0.09950256 0.06494141 0.07623291 0.00299072 0.19140625
10 0.15565491 0.04785156 0.69552994 0.00641251 0.18853569 0.15160942 0.20554352 0.16983795 0.08279228 0.08310890 0.04785156 0.05133057
11 0.04047012 0.00064468 0.01538181 0.04367447 0.22516823 0.11979198 0.07116127 0.15992451 0.14504242 0.10356522 0.00064468 0.12635803
12 0.07317448 0.00009537 0.12601113 0.07291055 0.07864320 0.04793108 0.09420252 0.12091875 0.10567701 0.04268849 0.00009537 0.03228760
13 0.30930543 0.08726716 0.18191391 0.00288486 0.44056499 0.27032679 0.22896206 0.19249970 0.09253502 0.09552693 0.08726716 0.06546402
14 0.02433783 0.00402927 0.23568465 0.00002755 0.05726879 0.15697902 0.11567977 0.12904361 0.10595768 0.11915288 0.00402927 0.01061463
15 0.00499548 0.08419348 0.18019984 0.00000073 0.14095820 0.10974376 0.03524751 0.04609542 0.09831235 0.11054303 0.08419348 0.01984411
16 0.33698649 0.00413848 0.27465814 0.00974650 0.21799757 0.40697698 0.35549182 0.07682056 0.08000459 0.24761916 0.00413848 0.04563481
17 0.20557125 0.03664804 0.04611195 0.00044598 0.16123672 0.11168449 0.05478859 0.00347960 0.01030704 0.04934273 0.03664804 0.07855320
18 0.13378655 0.00186735 0.01950808 0.00925132 0.15760052 0.26201773 0.26655469 0.10763891 0.05663102 0.04994760 0.00186735 0.00022270
