================================================================================
PHASE 1 — SAMPLE SIGNINGS BY LIFT HASH
================================================================================
vertices: 15
edges:    30
negatives target: 14
sample limit:     250000
cycle basis size: 16

... samples=500 cycle_sigs=426 lift_hashes=1
... samples=1000 cycle_sigs=769 lift_hashes=1
... samples=1500 cycle_sigs=1107 lift_hashes=1
... samples=2000 cycle_sigs=1410 lift_hashes=1
... samples=2500 cycle_sigs=1722 lift_hashes=1
... samples=3000 cycle_sigs=2008 lift_hashes=1
... samples=3500 cycle_sigs=2094 lift_hashes=1
... samples=4000 cycle_sigs=2340 lift_hashes=1
... samples=4500 cycle_sigs=2527 lift_hashes=1
... samples=5000 cycle_sigs=2748 lift_hashes=1
... samples=5500 cycle_sigs=3168 lift_hashes=1
... samples=6000 cycle_sigs=3527 lift_hashes=1
... samples=6500 cycle_sigs=3864 lift_hashes=1
... samples=7000 cycle_sigs=4142 lift_hashes=1
... samples=7500 cycle_sigs=4367 lift_hashes=1
... samples=8000 cycle_sigs=4628 lift_hashes=1
... samples=8500 cycle_sigs=4791 lift_hashes=1
... samples=9000 cycle_sigs=5023 lift_hashes=1
... samples=9500 cycle_sigs=5321 lift_hashes=1
... samples=10000 cycle_sigs=5527 lift_hashes=1
... samples=10500 cycle_sigs=5686 lift_hashes=1
... samples=11000 cycle_sigs=5812 lift_hashes=1
... samples=11500 cycle_sigs=5982 lift_hashes=1
... samples=12000 cycle_sigs=6138 lift_hashes=1
... samples=12500 cycle_sigs=6346 lift_hashes=1
... samples=13000 cycle_sigs=6476 lift_hashes=1
... samples=13500 cycle_sigs=6693 lift_hashes=1
... samples=14000 cycle_sigs=6883 lift_hashes=1
... samples=14500 cycle_sigs=6939 lift_hashes=1
... samples=15000 cycle_sigs=7097 lift_hashes=1
... samples=15500 cycle_sigs=7232 lift_hashes=1
... samples=16000 cycle_sigs=7326 lift_hashes=1
... samples=16500 cycle_sigs=7327 lift_hashes=1
... samples=17000 cycle_sigs=7328 lift_hashes=1
... samples=17500 cycle_sigs=7396 lift_hashes=1
... samples=18000 cycle_sigs=7528 lift_hashes=1
... samples=18500 cycle_sigs=7637 lift_hashes=1
... samples=19000 cycle_sigs=7740 lift_hashes=1
... samples=19500 cycle_sigs=7808 lift_hashes=1
... samples=20000 cycle_sigs=7858 lift_hashes=1
... samples=20500 cycle_sigs=7992 lift_hashes=1
... samples=21000 cycle_sigs=8325 lift_hashes=1
