================================================================================
THALION MODE FACE PROJECTION
================================================================================
lambda1 = 2.821023449

PHASE 00 theta=0.000000
face  0  amp=-0.148016
face  1  amp=-0.000000
face  2  amp=+0.148016
face  3  amp=+0.000000
face  4  amp=-0.148016
face  5  amp=-0.000000
face  6  amp=+0.148016
face  7  amp=+0.000000
face  8  amp=-0.148016
face  9  amp=-0.000000
face 10  amp=+0.148016
face 11  amp=+0.000000
PHASE 01 theta=0.523599
face  0  amp=-0.128186
face  1  amp=-0.074008
face  2  amp=+0.128186
face  3  amp=+0.074008
face  4  amp=-0.128186
face  5  amp=-0.074008
face  6  amp=+0.128186
face  7  amp=+0.074008
face  8  amp=-0.128186
face  9  amp=-0.074008
face 10  amp=+0.128186
face 11  amp=+0.074008
PHASE 02 theta=1.047198
face  0  amp=-0.074008
face  1  amp=-0.128186
face  2  amp=+0.074008
face  3  amp=+0.128186
face  4  amp=-0.074008
face  5  amp=-0.128186
face  6  amp=+0.074008
face  7  amp=+0.128186
face  8  amp=-0.074008
face  9  amp=-0.128186
face 10  amp=+0.074008
face 11  amp=+0.128186
PHASE 03 theta=1.570796
face  0  amp=+0.000000
face  1  amp=-0.148016
face  2  amp=-0.000000
face  3  amp=+0.148016
face  4  amp=+0.000000
face  5  amp=-0.148016
face  6  amp=-0.000000
face  7  amp=+0.148016
face  8  amp=+0.000000
face  9  amp=-0.148016
face 10  amp=-0.000000
face 11  amp=+0.148016
PHASE 04 theta=2.094395
face  0  amp=+0.074008
face  1  amp=-0.128186
face  2  amp=-0.074008
face  3  amp=+0.128186
face  4  amp=+0.074008
face  5  amp=-0.128186
face  6  amp=-0.074008
face  7  amp=+0.128186
face  8  amp=+0.074008
face  9  amp=-0.128186
face 10  amp=-0.074008
face 11  amp=+0.128186
PHASE 05 theta=2.617994
face  0  amp=+0.128186
face  1  amp=-0.074008
face  2  amp=-0.128186
face  3  amp=+0.074008
face  4  amp=+0.128186
face  5  amp=-0.074008
face  6  amp=-0.128186
face  7  amp=+0.074008
face  8  amp=+0.128186
face  9  amp=-0.074008
face 10  amp=-0.128186
face 11  amp=+0.074008
PHASE 06 theta=3.141593
face  0  amp=+0.148016
face  1  amp=+0.000000
face  2  amp=-0.148016
face  3  amp=-0.000000
face  4  amp=+0.148016
face  5  amp=+0.000000
face  6  amp=-0.148016
face  7  amp=-0.000000
face  8  amp=+0.148016
face  9  amp=+0.000000
face 10  amp=-0.148016
face 11  amp=-0.000000
PHASE 07 theta=3.665191
face  0  amp=+0.128186
face  1  amp=+0.074008
face  2  amp=-0.128186
face  3  amp=-0.074008
face  4  amp=+0.128186
face  5  amp=+0.074008
face  6  amp=-0.128186
face  7  amp=-0.074008
face  8  amp=+0.128186
face  9  amp=+0.074008
face 10  amp=-0.128186
face 11  amp=-0.074008
PHASE 08 theta=4.188790
face  0  amp=+0.074008
face  1  amp=+0.128186
face  2  amp=-0.074008
face  3  amp=-0.128186
face  4  amp=+0.074008
face  5  amp=+0.128186
face  6  amp=-0.074008
face  7  amp=-0.128186
face  8  amp=+0.074008
face  9  amp=+0.128186
face 10  amp=-0.074008
face 11  amp=-0.128186
PHASE 09 theta=4.712389
face  0  amp=-0.000000
face  1  amp=+0.148016
face  2  amp=+0.000000
face  3  amp=-0.148016
face  4  amp=-0.000000
face  5  amp=+0.148016
face  6  amp=+0.000000
face  7  amp=-0.148016
face  8  amp=-0.000000
face  9  amp=+0.148016
face 10  amp=+0.000000
face 11  amp=-0.148016
PHASE 10 theta=5.235988
face  0  amp=-0.074008
face  1  amp=+0.128186
face  2  amp=+0.074008
face  3  amp=-0.128186
face  4  amp=-0.074008
face  5  amp=+0.128186
face  6  amp=+0.074008
face  7  amp=-0.128186
face  8  amp=-0.074008
face  9  amp=+0.128186
face 10  amp=+0.074008
face 11  amp=-0.128186
PHASE 11 theta=5.759587
face  0  amp=-0.128186
face  1  amp=+0.074008
face  2  amp=+0.128186
face  3  amp=-0.074008
face  4  amp=-0.128186
face  5  amp=+0.074008
face  6  amp=+0.128186
face  7  amp=-0.074008
face  8  amp=-0.128186
face  9  amp=+0.074008
face 10  amp=+0.128186
face 11  amp=-0.074008
